Borough,Neighborhood,ID,Name,Likes,Rating,Tips
Bronx,Pelham Bay,4b634812f964a520936f2ae3,Vito's Deli,6,6.7,5
Staten Island,Castleton Corners,4b9a599af964a5201aae35e3,Cucina Mia,5,7.0,3
Manhattan,Manhattanville,56d8e01d498ef1500ae7fbfe,Fumo,100,9.0,22
Staten Island,St. George,590928301de7651d663ae087,Marie's 2,9,7.9,2
Manhattan,Turtle Bay,4b2042fff964a5208f2f24e3,Pietro's,40,8.1,19
Manhattan,Chelsea,511d6006e4b0a486ec088c89,The Meatball Shop,1005,8.7,191
Staten Island,Mariner's Harbor,4d51deac3062a1cd37786ba3,Bella Mama Rose Italian Restaurant,6,6.9,10
Brooklyn,Sheepshead Bay,4ad9fb95f964a520bb1c21e3,Il Fornetto,63,7.5,28
Manhattan,Murray Hill,59dd1ccaf870fd589f795fca,Vini E Fritti,82,8.6,14
Queens,Bellerose,4d0ab4386aa05481d5f5e5aa,Arturo's Ristorante Italiano,6,6.0,1
Queens,Corona,4ea2fc90cc2102b34d3d8dc7,Il Triangolo Ristorante,35,8.8,26
Queens,Lindenwood,4e6409451495676d566f10b5,Bruno Ristorante Italianio,29,8.6,7
Staten Island,Arden Heights,50189ccee4b0d35e6d8774f8,Villa Monte's,10,6.9,5
Staten Island,Grant City,4bc73ff96501c9b696063e29,Little Italy Gourmet,12,7.6,6
Bronx,Schuylerville,4bb8eb3ecf2fc9b65506a002,Louis Seafood,5,5.8,8
Bronx,City Island,4514ed4df964a520e5391fe3,Artie's Steak and Seafood,44,8.0,27
Staten Island,Sunnyside,0,0,0,0.0,0
Queens,Long Island City,53ed8f36498ea1eca81563c1,Il Falco,38,8.1,15
Brooklyn,Boerum Hill,4d9f5a9efc4f721e7e5a9d5f,Rucola,861,9.2,234
Staten Island,New Dorp,4be61580d4f7c9b6fe662620,Brioso,22,7.7,15
Manhattan,Tudor City,4b2042fff964a5208f2f24e3,Pietro's,40,8.1,19
Brooklyn,Downtown,4d9f5a9efc4f721e7e5a9d5f,Rucola,861,9.2,234
Queens,Ravenswood,53a60a88498ef405d8a78217,VITE vinosteria,106,8.8,30
Bronx,Morris Park,4b47f069f964a5208c4426e3,Pasta Pasta,9,6.7,8
Brooklyn,North Side,4dcabca41f6e2812677e3598,The Meatball Shop,1335,9.0,374
Brooklyn,Bay Ridge,4bd075f2caff952145d3cef0,Gino's Restaurant,139,8.5,57
Queens,Glendale,0,0,0,0.0,0
Staten Island,Sandy Ground,0,0,0,0.0,0
Manhattan,West Village,49bd2326f964a5204d541fe3,I Sodi,242,9.2,94
Queens,Forest Hills Gardens,4ba0203af964a520105c37e3,Portofino Ristorante,58,7.4,38
Manhattan,Carnegie Hill,4b981d9af964a520802d35e3,Elio's,117,9.0,49
Manhattan,Hudson Yards,5633bec0498e430fc8ba8f3c,La Vela Dining & Bar,23,8.1,8
Manhattan,Lower East Side,3fd66200f964a5209de41ee3,Supper,767,8.5,278
Brooklyn,Fort Greene,4afca48af964a520ab2422e3,Roman’s,287,8.8,116
Bronx,Belmont,4b5514c4f964a5207cda27e3,Enzo's,43,8.3,19
Bronx,Westchester Square,51aa5120498ec578a5ad0ac4,The Pines,4,6.7,4
Bronx,Schuylerville,4c1d717b8b3aa59363a99a5f,Spoto's Italian Restaurant,6,6.8,11
Bronx,Bronxdale,4b10591af964a5205f6e23e3,Patricia's,84,8.4,39
Queens,Auburndale,4b96ab2af964a520bfdc34e3,Durso's Pasta & Ravioli Company,27,7.9,15
Staten Island,Old Town,0,0,0,0.0,0
Manhattan,Noho,3fd66200f964a520d0e41ee3,Lil' Frankie's,881,9.0,258
Manhattan,Soho,56d92e05498e6c54b6325b19,San Carlo Osteria Piemonte,104,9.0,41
Staten Island,New Dorp,4bc73ff96501c9b696063e29,Little Italy Gourmet,12,7.6,6
Queens,Steinway,4b494398f964a520d96b26e3,Porto Bello Pizza and Restaurant,59,8.3,21
Manhattan,Soho,579e5513498e9ffc61b6ad8e,Piccola Cucina Enoteca,55,8.9,13
Brooklyn,Remsen Village,0,0,0,0.0,0
Staten Island,Grant City,4d7acef35462b60c7c97cbd8,Cucina Fresca,5,7.9,5
Manhattan,Noho,4d49d00ef53c8cfa78561c47,Gaia Italian Cafe,266,9.1,132
Staten Island,Great Kills,4cb8efaa90c9a143a5e183d6,Benvenuti Pizzeria e Trattoria,3,5.8,9
Manhattan,Midtown,3fd66200f964a5209ee81ee3,Carmine’s Italian Restaurant,1596,8.9,553
Bronx,Country Club,4c9e1ef2542b224b70a3f09f,Lucca Italian Restaurant,7,8.1,4
Manhattan,Tribeca,4a149749f964a52055781fe3,Locanda Verde,1424,9.2,502
Queens,Oakland Gardens,4b9c519ef964a520065f36e3,Villa Rustica Ristorante & Pizza,13,7.2,13
Brooklyn,Carroll Gardens,5766ad56498ebf269c3737d2,Gersi,75,7.9,15
Brooklyn,Cobble Hill,5bdcfb3e6e69af0025d9e331,The Longshoreman,16,8.5,4
Queens,Floral Park,4c450fae74ffc928328676cc,Luigi's Restaurant & Bar,79,8.4,34
Queens,Long Island City,57a13096498e42182b7df641,Oro Restaurant and Lounge,7,6.8,4
Brooklyn,Georgetown,4c267153b012b71350e30893,Landi's Pork Store,32,8.5,11
Staten Island,Grasmere,4c2546d5a852c928e5a2e46c,Italianissimo,14,6.5,7
Staten Island,Richmond Valley,4ba6706af964a520875239e3,Nucci's,29,7.2,7
Manhattan,Battery Park City,556cb8c6498e751e51fbcf41,Parm,247,8.2,73
Bronx,Concourse Village,4bfd8d06f61dc9b669309fde,Tiny's Pizza & Pasta,6,6.9,4
Queens,College Point,0,0,0,0.0,0
Bronx,Bronxdale,3fd66200f964a5207bf11ee3,F & J Pine Tavern,173,8.8,70
Brooklyn,Park Slope,44bcb47ef964a5209b351fe3,al di là,559,8.9,193
Queens,Hunters Point,4f74ff83e4b09b101271b89b,Manducatis,33,7.8,9
Staten Island,Charleston,0,0,0,0.0,0
Queens,Bay Terrace,0,0,0,0.0,0
Bronx,Baychester,4c9518076b35a143d5dc21dc,Fratelli's,22,8.5,6
Bronx,Concourse Village,5956be26123a195de6701c2b,Porto Salvo,10,8.4,5
Staten Island,New Brighton,4a271f0cf964a5205c911fe3,Enoteca Maria,92,8.2,40
Staten Island,Rosebank,4bcc8e3bb6c49c7422ed9391,Tony's Brick Oven Pizzeria,18,7.9,18
Bronx,Fordham,4c9b9e7b9c663704b90463fd,Gerbasi Ristorante,15,7.5,12
Brooklyn,Sheepshead Bay,5a10a9d76e465053a63ca8c7,Patrizia’s Of Sheepshead Bay,10,7.7,0
Staten Island,New Dorp Beach,0,0,0,0.0,0
Manhattan,Upper East Side,4b3bedfaf964a5209e7e25e3,Antonucci,41,8.5,13
Queens,Utopia,4b368ed8f964a520f53725e3,Acquista Trattoria,34,7.9,28
Staten Island,Old Town,4daa28bd93a04642f079c973,Cielo Ristorante,12,6.9,3
Brooklyn,Brooklyn Heights,3fd66200f964a520ece81ee3,Noodle Pudding,222,8.3,87
Bronx,Belmont,4acf80aef964a52025d420e3,Tino's Delicatessen,145,9.2,48
Queens,Whitestone,56071182498e48b25409f3b5,Liola Ristorante,6,7.2,4
Bronx,Baychester,5411894d498e4a254a11a46c,Olive Garden,26,7.6,8
Queens,Lefrak City,4ea2fc90cc2102b34d3d8dc7,Il Triangolo Ristorante,35,8.8,26
Manhattan,Greenwich Village,4cc6222106c25481d7a4a047,Rubirosa Ristorante,2465,9.4,821
Staten Island,Tottenville,0,0,0,0.0,0
Queens,Beechhurst,4ce9b1fcfe90a35d7bf2490e,The Clinton Restaurant,16,7.2,6
Bronx,Fordham,4b5a4c8ff964a52049bb28e3,Emilia's Restaurant,33,8.1,16
Manhattan,Murray Hill,4ccc32e997d0224bff415eb8,Ai Fiori,461,8.9,176
Manhattan,East Harlem,3fd66200f964a5207de81ee3,Rao's,73,8.1,33
Bronx,Schuylerville,4b491198f964a5208f6426e3,Rino's Italian Restaurant,6,6.4,1
Manhattan,Washington Heights,4d21107c6e8c37042b58ff9f,Saggio Restaurant,118,8.6,62
Brooklyn,Ocean Parkway,4c0b017aa1b32d7f1d6d9af0,La Palina,34,8.7,18
Brooklyn,Fulton Ferry,3fd66200f964a520ece81ee3,Noodle Pudding,222,8.3,87
Bronx,Morris Park,51aa5120498ec578a5ad0ac4,The Pines,4,6.7,4
Staten Island,Rosebank,4bbb8986e452952190d154a4,Da Noi Fingerboard,20,7.8,6
Queens,Ravenswood,5aa41faf178a2a08410ce198,Beebe’s,48,8.8,11
Brooklyn,Fort Greene,4fbabf08e4b0ffe177a56434,Aita,290,8.9,76
Brooklyn,Fort Hamilton,4b70d8dff964a52063312de3,Tuscany Grill,15,8.0,7
Brooklyn,Dyker Heights,3fd66200f964a5205fee1ee3,Ponte Vecchio Restaurant,39,7.8,17
Bronx,Throgs Neck,4b6cb1c0f964a520d04c2ce3,Mamma Lucia's Pizza & Pasta,3,6.4,10
Bronx,Fordham,59050f51b23dfa5f6649e678,Arthur Avenue Fiasco,10,8.2,4
Brooklyn,Bensonhurst,4c0791492e80a593eabf75f9,Papa Pasquale,12,8.0,5
